Package,Version
AER,1.2-5
afex,0.20-2
apa,0.2.0
arm,1.10-1
assertive,0.3-5
assertthat,0.2.0
BayesFactor,0.9.12-2
binom,1.1-1
bizdays,1.0.5
blavaan,0.3-1
bookdown,0.7
car,3.0-0
caret,6.0-79
coefplot,1.2.6
corrgram,1.12
DAAG,1.22
data.table,1.10.4-3
datapasta,3.0.0
devtools,1.13.5
DiagrammeR,1.0.0
DiagrammeRsvg,0.1
effsize,0.7.1
emmeans,1.1.3
ez,4.4-0
fdrtool,1.2.15
foreach,1.4.4
formatR,1.5
gapminder,0.3.0
gdata,2.18.0
GGally,1.3.2
ggrepel,0.7.0
ggridges,0.5.0
ggthemes,3.4.2
gridExtra,2.3
gtable,0.2.0
gtools,3.5.0
infuser,0.2.8
janitor,1.0.0
jtools,0.9.4
knitr,1.20
lmerTest,3.0-1
lsr,0.5
margins,0.3.20
markdown,0.8
mediation,4.4.6
merTools,0.3.0
meta,4.9-1
metafor,2.0-0
mi,1.0
mice,2.46.0
miniCRAN,0.2.11
MuMIn,1.40.4
mvtnorm,1.0-7
officer,0.2.2
pander,0.6.1
png,0.1-7
psych,1.8.3.3
pwr,1.2-2
reshape2,1.4.3
rfigshare,0.3.7
rmarkdown,1.9
rmeta,3.0
rsvg,1.2
selectr,0.4-1
semPlot,1.1
semTools,0.4-14
skimr,1.0.2
sn,1.5-2
testthat,2.0.0
tidyverse,1.2.1
tufte,0.3
usethis,1.3.0
waffle,0.7.0
wesanderson,0.3.6
whisker,0.3-2
zoo,1.8-1
survival,2.41-3
